	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
1375	Shamir	Очковая Линза Shamir 1.59 Glacier SV RX Polarized				
1376	Shamir	Очковая Линза Shamir 1.59 Glacier SV RX DriveWear				
1377	Shamir	Очковая Линза Shamir 1.6 Glacier SV RX				
1378	Shamir	Очковая Линза Shamir 1.6 Glacier SV RX Transitions Gen 8/XTRActive				
1379	Shamir	Очковая Линза Shamir 1.6 Glacier SV RX Polarized				
1380	Shamir	Очковая Линза Shamir 1.6 Glacier SV RX BlueZero				
1381	Shamir	Очковая Линза Shamir 1.67 Glacier SV RX				
1382	Shamir	Очковая Линза Shamir 1.67 Glacier SV RX Transitions Gen 8/XTRActive				
1383	Shamir	Очковая Линза Shamir 1.67 Glacier SV RX Polarized				
1384	Shamir	Очковая Линза Shamir 1.67 Glacier SV RX BlueZero				
1385	Shamir	Очковая Линза Shamir 1.74 Glacier SV RX				
1386	Shamir	Очковая Линза Shamir 1.74 Glacier SV RX Transitions Gen 8				
1387	Fabiano	FRD 652020 c1	55	16	142	135
1388	Fabiano	FA 0819 c.02	59	16	150	143
1389	Fabiano	FA-0824 c.03	59	17	150	146
1390	Ricardo	RS-212009 c1	59	19	155	146
1391	Jessie Kids	JSGH 762002 c2 (44)	44	17	130	120
1392	Jessie Kids	J0802 c.3	45	16	125	120
1393	Hermossa	HMO-268 c.01	52	18	145	138
1394	La Stella	Оправа LA STELLA 816 C1	54	17	140	133
1395	La Stella	381 C2	53	18	140	136
1396	La Stella Kids	LSO 1094 C04	42	17	130	115
1397	La Stella Kids	MC01-810 c.01K	49	15	135	125
1398	La Stella Kids	LSO 1093 C04	45	18	133	121
1399	Nikon	Очковая линза Nikon Lite AS 1.6 SeeCoat Drive				
1400	Nikon	Очковая линза Nikon Lite SP 1.6 SeeCoat Drive				
1401	Nikon	Очковая линза Nikon Lite SP 1.5 SeeCoat Drive				
1402	Gross Optic	Очковая Линза Gross-Optic 1.5 HSC Satin Coat				
1403	Gross Optic	Очковая Линза Gross-Optic 1.5 HBC Blue Cut				
1404	Gross Optic	Очковая Линза Gross-Optic 1.59 HMC				
1405	Gross Optic	Очковая Линза Gross-Optic 1.6 HMC				
1406	Gross Optic	Очковая Линза Gross-Optic 1.6 HSC Satin Coat				
1407	Gross Optic	Очковая Линза Gross-Optic 1.67 AS HSC				
1408	Gross Optic	Очковая Линза Gross-Optic 1.55 SunShade Grey/Brown HMC				
1409	Shamir	Очковая линза Shamir Altolite 1.56 SunSwift Glacier Brown/Grey				
1410	Gross Optic	Очковая Линза Gross-Optic 1.53 HMC Trivex				
1411	Nano	NAO3041746	46	14	135	116
1412	Porsche Design	P8538	62	12	137	140
1413	Nano	NAO621342SC	42	15	107	113
1414	Despada Kids	DS-915 c.1	45	19	125	125
1415	Blancia	BC-1124 C1	133	0	140	135
1416	Blancia	BC-1105 C2	61	15	145	137
1417	Blancia	BC-1110 C2	56	18	140	140
1418	Blancia	BC-1218 C2	58	16	145	141
1419	Blancia	BC-285 C3	54	19	140	138
1420	Blancia	BC-1075 C3	54	20	140	137
1421	Hermossa	HM-1438 03	59	14	145	135
1422	Hermossa	HM-1598 03	139	0	140	142
1423	Hermossa	HM-1302 C4	55	19	145	138
1424	Hermossa	HM-1306 C3	53	22	145	139
1425	Hermossa	HM-1311 C1	56	20	140	140
1426	Hermossa	HMO-315 c.03	50	20	140	131
1427	Hermossa	HM-1314 C4	57	19	140	142
1428	Hermossa	HM-1311 C3	56	20	140	140
1429	Hermossa	HM-1425 01	56	19	140	140
1430	Despada	DS-1773 c.2	52	22	143	140
1431	Despada	DS-1005 c.2	52	19	145	140
1432	Despada	DS-1948 c.4	1	13	142	138
1433	Despada	DS-1903 c.1	52	20	142	145
1434	Despada	DS-2180 c.3	53	20	145	132
1435	Despada	DS-2198 c.2	60	16	142	135
1436	Despada	DS-2230 c.1	56	17	145	140
1437	Despada	DS-992 c.4	52	17	150	135
1438	Despada	DS-1004 c.3	53	17	150	139
1439	Despada	DS-1622 c.5	60	15	145	137
1440	Despada	DS-2057 c.2	60	18	138	145
1441	Despada	DS-1968 c.3	64	17	130	147
1442	Despada	DS-1765 c.4	58	15	140	144
1443	Despada	DS-2020 c.4	60	17	145	144
1444	Despada	DS-969 c.4	54	18	140	138
1445	Despada	DS-2199 c.2	59	18	143	139
1446	Despada	DS-1853 c.4	56	18	143	140
1447	Despada	DS-1507 c.2	60	15	143	14
1448	Despada	DS-1585 c.1	140	17	142	57
1449	Despada	DS-2209 c.2	53	21	145	137
1450	Despada	DS-1875 c.3	61	16	140	141
1451	Артоптика	Очковая линза АртОптика Perifocal/Anlauf 1.5 Superclean Green				
1452	Артоптика	Очковая линза АртОптика Perifocal/Anlauf 1.6 Superclean Green				
1453	Артоптика	Очковая линза АртОптика Perifocal/Anlauf 1.67 Superclean Green				
1454	Артоптика	Очковая линза АртОптика Perifocal/Anlauf Transitions GEN8 1.5 Superclean Green Grey/Brown/Green				
1455	Артоптика	Очковая линза АртОптика Perifocal/Anlauf Transitions GEN8 1.6 Superclean Green Grey/Brown/Green				
1456	Артоптика	Очковая линза АртОптика Perifocal/Anlauf Transitions GEN8 1.67 Superclean Green Grey/Brown/Green				
1457	Артоптика	Очковая линза АртОптика Perifocal/Anlauf Nu Polar Polarized 1.5 Superclean Green Brown/Grey-1/Grey-3				
1458	Артоптика	Очковая линза АртОптика Perifocal/Anlauf Nu Polar Polarized 1.6 Superclean Green Grey-3/Brown				
1459	Safilo	7A 091, 003	55	18	145	140
1460	Despada	DS-1931 c.1	62	15	138	140
1461	Despada	DS-2079 04	58	18	140	150
1462	Despada	DS-1817 c.3	61	15	140	145
1463	Fun Story Kids	FNS-08 c.2	54	18	135	137
1464	Fun Story Kids	FNS-05 c.4	48	16	135	122
1465	Fun Story Kids	FNS-01 c.6	44	16	125	120
1466	Fun Story Kids	FNS-07 c.1	48	16	135	126
1467	Fun Story Kids	FNS-01 c.1	44	16	125	119
1468	Barbie Kids	BBV007, RED	47	19	135	124
1469	Ciao Ciao Kids	Оправа CIAO CIAO, C388 RED	47	16	125	117
1470	Barbie Kids	BBV008, BLK	48	19	135	125
1471	Ciao Ciao Kids	Оправа CIAO CIAO, C212 c.793	45	13	120	115
1472	Winx Kids	WV044-121	45	15	120	115
1473	Winx Kids	WV050-220	43	15	125	110
1474	Winx Kids	WV017-330	45	14	125	115
1475	Winx Kids	WV038-320	46	14	120	115
1476	Hot Wheels Kids	HWV110 BLUE	49	18	140	127
1477	Hot Wheels Kids	HWV101 GRY	48	18	130	125
1478	Hot Wheels Kids	HWV061-440	45	15	120	120
1479	Hot Wheels Kids	HWV047-660	47	14	120	120
1480	Transformers Kids	TRV023-140	44	16	125	115
1481	Transformers Kids	TRV035-280	46	15	120	130
1482	Transformers Kids	TRV036-280	47	15	120	130
1483	Transformers Kids	TRV015-290	46	16	125	120
1484	Nano	NAO630147	47	16	127	123
1485	Nano	NAO630843SC	43	15	115	115
1486	Silicon Baby	NV203438	38	13	122	105
1487	Crocs Kids	JR 6047 col.20RD	47	15	128	121
1488	Crocs Kids	JR6050 col.80BE	49	15	128	125
1489	Crocs Kids	JR6039 col.20RD	50	15	126	120
1490	Crocs Kids	JR6039 col.80GN	50	15	126	127
1491	Crocs Kids	JR6039 col.50BE	50	15	126	126
1492	Sunstar	STJ0015 c.2	58	14	145	143
1493	Sunstar	STJ0015 c.4	58	14	145	140
1494	Sunstar	HFF0046 c.5	64	13	145	145
1495	Polarstar	PSS802 c.2	53	16	140	125
1496	Pal Zileri	PZ211 c.01	55	19	138	140
1497	Pal Zileri	PZ215 c.02	55	19	142	140
1498	Pal Zileri	PZ218 c.01	54	17	140	130
1499	Pal Zileri	PZ216 c.02	53	18	140	133
1500	Pal Zileri	PZ219 c.02	54	18	140	135
1501	Pal Zileri	PZ219 c.03	54	18	140	135
1502	Pal Zileri	PZ216 c.01	53	18	140	134
1503	Pal Zileri	PZ218 c.02	54	17	140	134
1504	Pal Zileri	PZ217 c.01	54	18	138	135
1505	Pal Zileri	PZ214 c.01	54	18	142	137
1506	Pal Zileri	PZ214 c.02	54	18	142	135
1507	Pal Zileri	PZ217 c.02	54	18	138	135
1508	Pal Zileri	PZ213 c.01	53	18	140	140
1509	Ray Ban Junior	RB 1053-4083	45	18	130	125
1510	Ray Ban	RB 4215 6126/13	57	16	145	143
1511	Ray Ban	RB 7053-5365	54	17	140	139
1512	Ray Ban	RB 7084-5635	54	18	140	138
1513	Ray Ban	RB 4246V-5240	47	19	140	133
1514	Ray Ban	RB 5353-5628	50	19	145	140
1515	Silicon Baby	NV165034	34	14	105	100
1516	Polarstar	PSS-0803 c.1	54	15	130	140
1517	Polarstar	TR 524 c.1	63	11	136	135
1518	Barton	BA 0130 c3	57	18	145	141
1519	Franco Sordelli	TH 3504 M056	46	19	140	125
1520	Franco Sordelli	TH 3504 M057	46	19	140	125
1521	Franco Sordelli	TH 3503 M050	52	18	140	135
1522	Franco Sordelli	TH 3503 M048	52	18	140	130
1523	Fisher Price Kids	FPV/10 c.414 (38)	41	14	115	96
1524	Despada Kids	DS-915 c5	45	19	125	125
1525	La Stella Kids	502 с.24	43	18	115	120
1526	La Stella Kids	7010-2 c.5-6	46	21	136	128
1527	La Stella Kids	MB02-04 c.11	46	18	128	122
1528	La Stella Kids	174 с.61P	43	18	115	124
1529	La Stella Kids	LSO 1097 C02	44	17	130	120
1530	Pensne	A42 (+1,0;+1,5)	35	13		90
1531	Cerruti	CE 6579 c1	56	20	145	141
1532	Cerruti	CE 6579 c3	56	20	145	142
1533	Cerruti	CE 6544 02	54	20	140	140
1534	Cerruti	CE 8608 C2	59	16	145	147
1535	Cerruti	CE 8605 C2	60	14	145	143
1536	Cerruti	CE 8588 C2	64	15	145	143
1537	Cerruti	CE 8593 C2	57	18	145	143
1538	Shamir	Очковая линза Shamir Altolite 1.61 AS Glacier Plus				
1539	Shamir	Очковая линза Shamir Altolite 1.67 AS Glacier Plus				
1540	La Stella Kids	LSO 1097 C04	44	17	130	120
1541	Shamir	Очковая линза Shamir  Altolite 1.50 Glacier				
1542	Hoya	SYNC III 1.5 SHV R				
1543	Hoya	SYNC III 1.5 HVLL R				
1544	Hoya	SYNC III 1.5 HVLL UV Control/Blue Control R				
1545	Hoya	SYNC III PNX 1.53 SHV R				
1546	Hoya	SYNC III PNX 1.53 HVLL R				
1547	Hoya	SYNC III PNX 1.53 HVLL UV Control/Blue Control R				
1548	Hoya	SYNC III EYAS 2.0 1.60 HVLL R				
1549	Hoya	SYNC III EYAS 2.0 1.60 HVLL UV Control/Blue Control R				
1550	Hoya	SYNC III EYAS 2.0 1.60 SHV R				
1551	Hoya	SYNC III EYNOA 1.67 SHV R				
1552	Hoya	SYNC III EYVIA 1.74 SHV R				
1553	Hoya	SYNC III EYNOA 1.67 HVLL R				
1554	Hoya	SYNC III EYNOA 1.67 HVLL UV Control/Blue Control + Sensity/Sensity Dark R				
1555	Hoya	SYNC III EYVIA 1.74 HVLL UV Control/Blue Control R				
1556	Hoya	SYNC III EYVIA 1.74 HVLL R				
1557	Essilor	Очковая линза ESSILOR 1.5 Orma Transitions GEN8 Crizal Alize+UV				
1558	Essilor	Очковая линза ESSILOR 1.6 Ormix Transitions GEN8 Crizal Alize+UV				
1559	Essilor	1.74 AS Lineis Ormix Crizal Sapphire UV				
1560	Ana Hickmann	AH3123 K03	52	22	140	145
1561	Ana Hickmann	AH3199 A02F	51	24	145	143
1562	Tokai	Очковая линза TOKAI E60 1.6 HMC -HARD MULTI COATING				
1563	Ana Hickmann	AH3123 K01	52	22	140	145
1564	Ana Hickmann	AH3199 T01	51	24	145	141
1565	Ana Hickmann	AH9244 G21	53	18	145	145
1566	Rodenstock (линзы)	Очковая линза RODENSTOCK netline, Punktulit 1.6 Hard Super-AR				
1567	Glodiatr	G 1577 c2	57	18	140	142
1568	Shamir	Очковая линза Shamir Altolite 1.67 AS SunMax Glacier (Brown/Grey)				
1569	Nikitana	NK8765 C4	52	19	140	133
1570	Nikitana	NK8549 C8	51	21	140	134
1571	Ver Sport	ZEUS VX984910 (49-17)	49	17	110	124
1572	Shamir	Очковая линза Shamir Altolite1.5 HMC				
1573	Neolook (линзы)	Очковая линза NEOLOOK Excellent 1.67 AS SHMC				
1574	Neolook (линзы)	Очковая линза NEOLOOK Excellent 1.61 AS SHMC				
1575	Neolook (линзы)	Очковая линза NEOLOOK Excellent 1.56 SP SHMC				
1576	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.61 SP Aquamare				
1577	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.6 AS X-Drive Aquamare				
1578	Neolook (линзы)	Очковая линза NEOLOOK Excellent 1.61 SP SHMC				
1579	Valentin Yudashkin	VYF LI039, BPL	55	16	145	140
1580	Valentin Yudashkin	VY 30216, A2672	53	15	145	137
1581	Valentin Yudashkin	VYF 159, C03	54	18	140	140
1582	Tokai	E50 1.50 HMC -HARD MULTI COATING				
1583	Hoya	HILUX EYNOA 1.67 HVLL E				
1584	Hoya	HILUX EYAS 1.6 HVLL E				
1585	Hoya	HILUX EYAS 1.6 HVLL Blue Control E				
1586	Hoya	HILUX EYAS 1.6 SHV E				
1587	Hoya	HILUX EYAS 1.6 HVA E				
1588	Hoya	HILUX MR-8 1.6 HVA				
1589	Hoya	HILUX 1.5 HVLL Blue Control				
1590	Hoya	HILUX 1.5 HVLL Blue Control E				
1591	Roberto Cavalli	RC 1124 30F	71	21	120	145
1592	Chopard	VCHB97S 0300	56	17	135	135
1593	Chopard	VCHB96 0584	55	17	140	137
1594	Chopard	VCHB50S 08MG	55	16	135	138
1595	Chopard	VCH 162G 0700	54	19	145	140
1596	Chopard	VCH 162 0748	54	19	145	137
1597	Chopard	VCH 162G 06S8	54	19	145	140
1598	Chopard	VCH 162 991M	54	19	145	140
1599	Chopard	VCH 182S  01GJ	53	16	140	130
1600	Chopard	VCH 182S 0722	53	16	140	128
1601	Chopard	VCH 160S 0GA7	53	16	140	137
1602	Chopard	VCH 181S 01GJ	53	15	140	128
1603	Chopard	VCH198S 01GQ	51	19	135	140
1604	Chopard	VCH197GN 09ZB	53	16	140	130
1605	Michael Kors	MK 4025F 3005	51	18	135	130
1606	Michael Kors	MK 4042 3006	51	16	135	130
1607	Bunoviata	CRAPA c1	50	19	135	130
1608	Zeiss	Single Vision ClearView 1.67 DV Platinum				
1609	Zeiss	Single Vision ClearView 1.67 DV Platinum (E)				
1610	Maxmara	MM 1344, R6S	50	16	140	130
1611	Maxmara	MM 1407, 807	53	15	145	135
1612	Maxmara	MM 1215, NON	55	13	140	132
1613	Chopard	SCH 214S, 0700	53	18	140	141
1614	Chopard	SCH B12, 531P	60	14	135	138
1615	Calvin Klein	CK 5468 001	55	17	150	135
1616	Maxmara	MM FLAT II, YV4IR	54	18	140	138
1617	Maxmara	MM 0028, 01E	57	15	135	143
1618	Marc Jacobs	MARC 66/S, UUVWJ	60	14	135	135
1619	Marc Jacobs	MARC 261/S, NS8IR	56	18	145	134
1620	Ted Baker	Avery 1541 220	52	18	135	135
1621	Michael Kors	MK 2034, 3204T3	55	18	140	140
1622	Calvin Klein	CK2148S, 046	51	19	140	135
1623	Mekk By Kodak	Очковая линза MEKK, Supra 1.6 Elixir				
1624	Mekk By Kodak	Очковая линза MEKK, Supra Lite AS 1.6 Elixir				
1625	Mekk By Kodak	Очковая линза MEKK, AS Optima Lite 1.67 Elixir				
1626	Mekk By Kodak	Очковая линза MEKK, AS Organic Maximalite 1.74 Elixir				
1627	Mekk By Kodak	Очковая линза MEKK, Polycarbonate Gentex 1.59 SHMC				
1628	Tom Ford	TF  231, 52F	59	16	135	135
1629	Intramekk (сингапур)	Очковая Линза INTRA MEKK FSV 1.67 ASP HMC UV EMI				
1630	Intramekk (сингапур)	Очковая Линза INTRA MEKK FSV FLAT-TOP 1.5 Без Покртыия				
1631	Vogue	VO 5235S W44/87	53	17	135	140
1632	Vogue	VO 5245-S, W44/87	53	19	140	140
1633	Ray Ban	RB 4169 1073/14	51	14	140	140
1634	Fisher Price Kids	FPV/27 c.592 (43)	43	13	110	114
1635	Fisher Price Kids	FPVN006 CHR (45)	45	16	120	110
1636	Tokai	1.50 Transitions VII HMC BROWN, GREY (E)				
1637	Tokai	1.50 Lutina SPS (E)				
1638	Guess	GU8242 20B	55	22	145	145
1639	Guess	GU8235 28F	57	19	140	140
1640	Guess	GU7846 20B	61	18	135	147
1641	Guess	GU7501 48F	58	14	140	137
1642	Guess	GU7501 32G	58	14	140	137
1643	Guess	GU7228 10C	57	14	135	135
1644	Guess	GF5016 05B	52	21	140	144
1645	Guess	GU7413 08C	53	19	135	139
1646	Guess	GU6900 49E	52	18	140	135
1647	Guess	GU7413 32Q	53	19	135	138
1648	Gant	GA7059 52N	55	16	140	140
1649	Gant	GA7093 52N	57	16	145	140
1650	Gant	GA7041 52E	56	17	140	140
1651	Calvin Klein	CK 5927 611	52	16	140	135
1652	Calvin Klein	CK 5871 273	52	18	140	132
1653	Calvin Klein	CK  5908 615	51	18	140	140
1654	Tokai	1.6 Transitions VII PGC Brown/Grey (E)				
1655	Tokai	Lutina AS 1.6 Orgasol PGC CV 85% Brown/Grey/Green (E)				
1656	Tokai	AS 1.60/42 TBC-TOKAI BLUE COATING (E)				
1657	Tokai	AS 1.60/42 SPS-SUPER POWER SHIELD (E)				
1658	Tokai	Lutina AS 1.60 Photochromic PGC P-UV -PRO GUARD COATING (E)				
1659	Tokai	1.60 AS Lutina PGC P-UV (E)				
1660	Tokai	BI AS 1.60/42 (GO) UV SPS (E)				
1661	Tokai	1.67 AS SPS (E)				
1662	Winx Kids	WS 042-127	48	14	110	118
1663	Marc Jacobs	MARC 174/S, PJP	58	14	145	147
1664	Hot Wheels Kids	HWV109 GRY	48	19	135	126
1665	Hot Wheels Kids	HWV125 GREY	47	18	135	122
1666	Hot Wheels Kids	HWV109 BLUE	48	19	135	125
1667	Hot Wheels Kids	HWV101 BLK	48	18	130	123
1668	Hot Wheels Kids	HWV110 BLK	49	18	140	127
1669	Kappatre	FK 58348-21	52	15	135	143
1670	Tokai	Lutina 1.67 AS PGC P-UV (E)				
1671	Tokai	BI AS 1.67 (GO) UV SPS (E)				
1672	Tokai	AS 1.70 TBC (E)				
1673	Tokai	1.70 AS SPS- SUPER POWER SHIELD				
1674	Tokai	AS 1.76 SPS- SUPER POWER SHIELD (E)				
1675	Tokai	BI AS 1.76 (GO) UV SPS (E)				
1676	Kenzo	KZ3135 C01	54	16	140	135
1677	Kenzo	KZ50025I  001	51	17	145	135
1678	Kappatre	FK 58348-19	52	16	145	144
1679	Nano	NAO50037	42	15	107	113
1680	Fisher Price Kids	FPV/39 c.594 (44)	44	14	120	114
1681	Fisher Price Kids	FPV/39 c.594 (46)	46	14	120	120
1682	Nano	NAO3001244 (50056)	44(42)	13(15)	116(107)	112
1683	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.74 AS Aquamare (Astigmatism)				
1684	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.67 AS Aquamare (Astigmatism)				
1685	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.67 AS Optimo (Astigmatism)				
1686	Neolook (линзы)	Очковая линза NEOLOOK Excellent 1.61 AS SHMC (Astigmatism)				
1687	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.61 SP Aquamare (Astigmatism)				
1688	Hemme Paris	98152 C1	53	15	140	134
1689	Neolook (линзы)	Очковая линза NEOLOOK Excellent 1.61 SP SHMC (Astigmatism)				
1690	Koali	8302K  PP012A	52	17	140	130
1691	Koali	20001K PR02	45	20	135	120
1692	Koali	20001K BN01	45	20	135	122
1693	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.61 SP Optimo (Astigmatism)				
1694	Neolook (линзы)	Очковая линза NEOLOOK Aculite 1.56 SP Aquamare (Astigmatism)				
1695	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.50 SP NightDrive Polar Orange 25% Optimo BLP				
1696	Neolook (линзы)	Очковая линза NEOLOOK Vertex 1.50 SP NightDrive Polar Yellow 20% Optimo BLP				
1697	Lightec	8094L GR021	52	17	140	127
1698	Lightec	8094L GG022	52	17	140	126
1699	Koali	8302K PP012	52	17	140	130
1700	Koali	8304K ND030	52	19	140	134
1701	Koali	8304K PP033	52	19	140	132
1702	Koali	8194K RR032	54	16	135	142
1703	Oga	7918O BB022	55	16	135	137
1704	Oga	8204O BB021	51	20	140	135
1705	Oga	7654O GG062	55	16	140	133
1706	Nomad	2994N BW032	57	15	140	137
1707	Nomad	3065N NM030	57	15	140	135
1708	Nomad	2994N NG030	57	15	140	138
1709	Nomad	2719N MW021	56	17	140	136
1710	Nomad	2509N MV060	54	16	140	130
1711	Nomad	2266N NN082	53	16	140	130
1712	Nomad	2247N TT011	56	17	140	138
1713	Mekk By Kodak	Очковая Линза MEKK 1.5 Acclimates II Brown/Grey SHMC				
1714	Mekk By Kodak	Очковая Линза MEKK 1.6 Transitions Gen8 Brown/Grey Elixir Extra				
1715	Mekk By Kodak	Очковая Линза MEKK 1.5 Transitions Gen8 Brown/Grey Elixir Extra				
1716	Mekk By Kodak	Очковая Линза MEKK AS 1.67 Transitions Gen8 Brown/Grey Elixir Extra (E)				
1717	Porsche Design	P8321, S3 B	56	15	140	137
1718	Lastrada	Оправа LaStrada F6387 c1	43	20	140	128
1719	Lastrada	Оправа LaStrada WS-E0987 c1	58	17	140	145
1720	Lastrada	Оправа LaStrada 11013/17 c4	57	17	140	140
1721	Lastrada	Оправа LaStrada F6397 c4	55	18	140	137
1722	Lastrada	Оправа LaStrada 11050/16 c4	52	22	144	145
1723	Lastrada	Оправа LaStrada 11041/16 c2	53	17	138	136
1724	Hoya	SYNC III 1.5 HVLL UV Control/Blue Control + Sensity/Sensity Dark R				
1725	Hoya	SYNC III EYAS 2.0 1.60 HVLL UV Control/Blue Control + Sensity/Sensity Dark R				
1726	Hoya	SYNC III EYNOA 1.67 HVLL UV Control/Blue Control R				
1727	Hoya	SYNC III PNX 1.53 HVLL UV Control/Blue Control + Sensity R				
1728	Lastrada	Оправа LaStrada 11038/16 c4	52	20	142	140
1729	Lastrada	Оправа LaStrada I6455 C4	54	18	135	138
1730	Lastrada	Оправа LaStrada 2041/16 c2	52	22	140	135
1731	Lastrada	Оправа LaStrada 2011/14 C4	56	15	140	136
1732	Lastrada	E6354 C5	56	17	137	140
1733	Lastrada	Оправа LaStrada 9206/2014 C2	55	17	140	138
1734	Hoya	SYNC III 1.5 SHV + Sensity/Sensity Dark R				
1735	Hoya	SYNC III EYAS 2.0 1.60 SHV + Sensity/Sensity Dark R				
1736	Hoya	SYNC III EYNOA 1.67 SHV + Sensity/Sensity Dark R				
1737	Hoya	SYNC III PNX 1.53 SHV + Sensity R				
1738	Lastrada	Оправа LaStrada 6095 c1	55	18	135	135
1739	Demetz	PULSA2 DHA0242 Black	74	14	130	146
1740	Grand Voyage	1729 C1YA	51	17	135	140
1741	Grand Voyage	1728 C1Y	54	16	140	142
1742	Maxmara	MM 1151, 807	53	16	135	132
1743	Maxmara	MM 1247, 5FC	51	19	140	140
1744	Maxmara	MM 1233, CJ6	53	15	135	140
1745	Maxmara	MM 1241, FQK	54	17	135	135
1746	Maxmara	MM 1231, CNB	53	15	140	130
1747	Maxmara	MM 1222, OGN	54	19	140	135
1748	Maxmara	MM 1213, NL8	52	16	140	132
1749	Maxmara	MM 1202, 8XJ	55	16	140	132
1750	Maxmara	MM 1128, 0A1O	54	16	135	135
1751	Maxmara	MM 1128, 0LDX	54	16	135	130
1752	Maxmara	MM 1085/U, YBG	52	18	135	130
1753	Maxmara	MM 1202, RHP	55	16	140	130
1754	Maxmara	MM 1199, 8WP	52	17	140	130
1755	Maxmara	MM 1249, 5FC	55	17	140	138
1756	Grand Voyage	1724 с3	50	18	140	140
1757	Grand Voyage	1702 06BR	57	17	140	137
1758	Grand Voyage	1714 02BL	60	16	140	140
1759	Grand Voyage	S001 c2	54	18	140	140
1760	Guess	GU2576 052	51	18	135	140
1761	Guess	GU1803 MGRN	53	17	140	130
1762	Guess	GU2554 001	52	17	135	130
1763	Guess	GU2462 BRN	51	18	135	131
1764	Guess	GU2333 DKPUR	52	18	135	130
1765	Maxmara	MM 1322, 807	55	16	145	135
1766	Guess	GU2554 005	52	17	135	130
1767	Guess	GU2516 001	49	17	135	125
1768	Guess	GU2417 GRN	52	15	135	130
1769	Guess	GU2305 BLK	52	16	140	128
1770	Guess	GU2274 AMB	52	16	135	130
1771	Guess	GU1843 BL	55	17	145	135
1772	Nano	NAO670748	48	17	127	128
1773	Grand Voyage	1724 С1Y	49	18	145	138
1774	Nano	NAO50070SC	42	15	107	113
1775	Nano	NAO170247	47	17	130	125
1776	Nano	NAO3180744	44	14	120	113
1777	Nano	NAO2110246	46	17	130	120
1778	Nikitana	80026 c2	52	19	144	142
1779	Nikitana	NI3561 c5	54	17	142	136
1780	Hoya	SYNC III STRX 1.5 HVLL Blue Control E				
1781	Hoya	SYNC III STRX 1.5 SHV Е				
1782	Top Vision	1.5 Transitions XTRActive Polarized HMC Grey				
1783	Top Vision	1.5 ASP Transitions XTRActive Polarized HMC Grey				
1784	Top Vision	1.6 Transitions XTRActive Polarized HMC Grey				
1785	Top Vision	1.6 ASP Transitions XTRActive Polarized HMC Grey				
1786	Glodiatr	0; +1,5: +2,0)	56	19	145	130
1787	Glodiatr	0; +1,5; +2,0; +2,5; +4,0)	43	16	135	132
1788	Top Vision	1.67 Transitions XTRActive Polarized HMC Grey				
1789	Top Vision	1.67 ASP Transitions XTRActive Polarized HMC Grey				
1790	Grand Voyage	1729 c2	60	18	140	141
1791	Grand Voyage	1728 c2	54	18	140	140
1792	Grand Voyage	S007 c2	58	16	145	150
1793	Grand Voyage	S007 c1	58	18	145	150
1794	Nano	NAO3040348	48	14	135	120
1795	Nano	NAO3040946 (620944)	46(44)	14(16)	135(127)	117
1796	Nano	NAO3060244 (650842)	44(42)	13(15)	120(115)	113
1797	Grand Voyage	S006 c2	59	18	140	144
1798	Grand Voyage	S006 c1	59	18	140	144
1799	Grand Voyage	S003 c2	60	18	140	144
1800	Grand Voyage	1721 c2	54	17	135	135
1801	Tokai	1.55 Photo HMC BROWN, GREY				
1802	Grand Voyage	1714 01G	49	16	145	140
1803	Guess	GU1890 005	54	17	145	130
1804	Nano	NAO50038	42	15	107	113
1805	Nano	NAO3150648	48	16	133	125
1806	Nano	NAO3040346 (622044)	46(44)	14(16)	135(127)	117
1807	Clic	Vision Zero, CRRF-M (+1,5)	42	18		140
1808	Clic	Executive, CXR-22 (+1,5;+2.0)	54	18		150
1809	Clic	Vision CRN/1 (+1,5)	49	17		145
1810	Clic	Executive, CXN-22 (+1,5;+2,0; +3,0)	55	19		150
1811	Unique You	UQ 407 c001	55	18	140	137
1812	Unique You	UQ 407 c002	55	18	140	140
1813	Unique You	UQ 406 c003	56	18	140	140
1814	Tom Ford	TF 361 80B	54	17	135	143
1815	Ecoflex	EF 038L c.02	58	15	140	145
1816	Ecoflex	EF 039L c.03	52	18	138	134
1817	Ecoflex	EF 029 c.2	57	17	140	140
1818	Ecoflex	EF 024 c.1	55	17	140	145
1819	Ecoflex	EF 62TF c.2	50	18	135	135
1820	Ecoflex	EF 060L c.03	53	16	138	135
1821	Ecoflex	EF 055L c.02	54	16	138	128
1822	Ecoflex	EF 055L c.03	54	16	138	128
1823	Ecoflex	EF 67TF c.3	53	17	138	140
1824	Ecoflex	EF 67TF c.2	53	17	138	140
1825	Kerf	CKF21 c018	55	17	145	144
1826	Ray Ban	RB4256 6252/B7	49	20	150	135
1827	Barton	BA 0128 c.3	55	18	140	137
1828	Barton	BA 0125 c.6	56	18	140	140
